file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0023_0063_472462_to_475648,མ་རེད།  ,ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0023_0063_472462_to_475648.wav,STT_MV,3,8,3.186,wav16k/STT_MV0023_0063_472462_to_475648.wav,མ་རེད།
STT_MV0023_0065_481358_to_487025,རང་ང་ཞེད་ཀི་མི་འདུག་གེ ཞེད་པ་ཡིན་ན་ངས་ཁྱེད་རང་གི་མནའ་མ་བྱེད་ཀི་མ་རེད།  ,rang nga zhed ki mi 'dug ge_zhed pa yin na ngas khyed rang gi mna' ma byed ki ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0023_0065_481358_to_487025.wav,STT_MV,3,71,5.667,wav16k/STT_MV0023_0065_481358_to_487025.wav,རང་ང་ཞེད་ཀི་མི་འདུག་གེ ཞེད་པ་ཡིན་ན་ངས་ཁྱེད་རང་གི་མནའ་མ་བྱེད་ཀི་མ་རེད
STT_CS-X-2016-M-D-B05-2-R-01_0002_10042_to_12073,ངའི་མིང་ལ་བསྟན་འཛིན་ཟླ་མཛེས་ཡིན།  ,nga'i ming la bstan 'dzin zla mdzes yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2016-M-D-B05-2-R-01_0002_10042_to_12073.wav,STT_CS,3,34,2.031,wav16k/STT_CS-X-2016-M-D-B05-2-R-01_0002_10042_to_12073.wav,ངའི་མིང་ལ་བསྟན་འཛིན་ཟླ་མཛན་ཡིན།
STT_NS_M0512_0465_2673114_to_2679377,ན་ཚ་ཡིན་ན་མང་ང་དོན་ཡ་འདྲ་བོ་དང་། ཨོ་ཨེ་འདྲའི་འདྲ་བོ་ཆགས་ཀི་ཡོད་རཱ། ད་ཁ་ཤས་ག་འདྲའི་རེད་ལབ་ན་རཱ། ཨོ་ཨེ་འདྲའི་སྟོན་ནས་རཱ། ད་ང་ཚོ་སོ་སོའི་མི་ཚེ་འདི་ད།  ,na tsha yin na mang nga don ya 'dra bo dang /_o e 'dra'i 'dra bo chags ki yod rA/_da kha shas ga 'dra'i red lab na rA/_o e 'dra'i ston nas rA/_da nga tsho so so'i mi tshe 'di da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0512_0465_2673114_to_2679377.wav,STT_NS,3,148,6.263,wav16k/STT_NS_M0512_0465_2673114_to_2679377.wav,ན་ཚ་ཡིན་ན་མང་བ་དོན་ཡ་འདྲ་བོ་དང་། ཨོ་ཨེ་འདྲའི་འདྲ་བོ་ཆགས་གོ་རཱ། ད་ཁ་ཤས་ག་འདྲའི་རེད་ལབ་ན་རཱ། ཨོ་ཨེ་འདྲའི་སྟོན་ནས་རཱ། ད་ང་ཚོ་སོ་སོའི་མི་ཚེ་འདི་ད།
STT_MV0186_0321_2037306_to_2044983,ཁྱེད་རང་གོ་གནས་སྤར་ཙང་ཞལ་པར་ཕུལ་བྱས་བཀྲ་ཤིས་བདེ་ལེགས་ཞུ་དགོས་བསམ་བསྡད་ཡོད། ཡིན་ནས་ཁོམ་པ་ཁྱོན་ནས་མ་བྱུང་།  ,khyed rang go gnas spar tsang zhal par phul byas bkra shis bde legs zhu dgos bsam bsdad yod/_yin nas khom pa khyon nas ma byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0186_0321_2037306_to_2044983.wav,STT_MV,3,106,7.677,wav16k/STT_MV0186_0321_2037306_to_2044983.wav,ཧཁྱེད་རང་གོ་གནས་སྤར་ཙང་ཞལ་པར་ཕུལ་བྱས་བཀྲཤིས་བདེ་ལེགས་ཞུ་དགོས་བསམ་བསྡད་ཡོད། ཡིན་ནས་ཁོམ་པ་ཁྱོན་ནས་མ་བྱུང་།
STT_MV0023_0040_279573_to_281733,ཁོ་འདིར་ཡོང་དུས་ཅ་ལག་གེ་ཁེར་བ་མཐོང་མ་བྱུང་།  ,kho 'dir yong dus ca lag ge kher ba mthong ma byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0023_0040_279573_to_281733.wav,STT_MV,3,45,2.16,wav16k/STT_MV0023_0040_279573_to_281733.wav,ཁོ་འདིར་ཡོང་དུས་ཅ་ལག་གེ་ཁེར་པ་མཐོང་མ་བྱུང་།
STT_MV0023_0057_442939_to_446009,སྐད་ཆ་དེ་ངས་སེམས་ནང་ལ་རྒྱུན་རིང་པོ་ཉར་པ་ཡིན།  ,skad cha de ngas sems nang la rgyun ring po nyar pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0023_0057_442939_to_446009.wav,STT_MV,3,46,3.07,wav16k/STT_MV0023_0057_442939_to_446009.wav,སྐད་ཆ་དེ་ངས་སེམས་ནང་ལ་རྒྱུན་རིང་པོ་ཉར་པ་ཡིན།
STT_MV0023_0031_233480_to_238783,རྗེས་ལ་གུང་ཁྲན་ཏང་ཡར་འཛུལ་ཡོང་པ་རེད་ལེན་རྡི་ཁུའི་གིས་བསུ་བ་ཞུས་པ་རེད་ད།  ,rjes la gung khran tang yar 'dzul yong pa red len rdi khu'i gis bsu ba zhus pa red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0023_0031_233480_to_238783.wav,STT_MV,3,73,5.303,wav16k/STT_MV0023_0031_233480_to_238783.wav,རྗེས་ལ་གུང་ཁྲན་ཏང་ཡར་འཛུལ་ཡོང་པ་རེད། ལེན་རྡི་ཁུའི་གིས་བསུ་བ་ཞུས་པ་རེད་ད།
STT_CS-L-2016_2015-M_M-D_D-B01_B02-2_2-R_R-02_0058_411004_to_417045,ཁོ་ཚོ་ད་ཁོང་ཁྲོ་ཟ་ནས་ཆང་ས་བརྒྱབ་བཅུག་གི་མ་རེད་ད། རྫུན་མ་ཆང་ས་རྒྱབ་བཅུག་རེད་ད།  ,kho tsho da khong khro za nas chang sa brgyab bcug gi ma red da/_rdzun ma chang sa rgyab bcug red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2015-M_M-D_D-B01_B02-2_2-R_R-02_0058_411004_to_417045.wav,STT_CS,3,79,6.041,wav16k/STT_CS-L-2016_2015-M_M-D_D-B01_B02-2_2-R_R-02_0058_411004_to_417045.wav,ཁོང་ཚོ་ད་ཁོང་ཁྲོ་ཟ་ནས་ ཆང་ས་རྒྱག་བཅུག་གི་མ་རེད་ད། རྫུན་མ་ཆང་ས་རྒྱབ་བཅུག་ག་རེད་ད།
STT_MV0023_0078_556116_to_561529,ཁྱེད་རང་གིས་བྱས་ན་ང་ཚོས་དམག་ཁུལ་བརྒྱད་པའི་རུས་ཀྲོས་ཟེར་མྱི་དེ་ད་འབྲེལ་བ་བྱེད་དགོས་རེད་པེ།  ,khyed rang gis byas na nga tshos dmag khul brgyad pa'i rus kros zer myi de da 'brel ba byed dgos red pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0023_0078_556116_to_561529.wav,STT_MV,3,91,5.413,wav16k/STT_MV0023_0078_556116_to_561529.wav,ཁྱེད་རང་གིས་བྱས་ན་ང་ཚོས་དམག་ཁུལ་བརྒྱལ་པའི་རུས་ཀྲོས་ཟེར་མྱི་དེ་དང་འབྲེལ་བ་བྱེད་དགོས་རེད་པེ།
